"BaseIdentifier","Action","Identifier","Title","KeptIdentifier","KeptTitle"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_3_of_3_128K","Lancelot (Part 3 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Lancelot_1988_Mandarin","REMOVE","zx_Lancelot_1988_Mandarin_Software_Part_3_of_3_a","Lancelot (Part 3 of 3)","zx_Lancelot_1988_Mandarin_Software_Part_1_of_3","Lancelot (Part 1 of 3)"
"zx_Book_of_the","REMOVE","zx_Book_of_the_Dead_1987_CRL_Group_Part_2_of_2_re_release","Book of the Dead (Part 2 of 2)","zx_Book_of_the_Dead_1987_CRL_Group_Part_1_of_2_re_release","Book of the Dead (Part 1 of 2)"
"zx_Book_of_the","REMOVE","zx_Book_of_the_Dead_1987_Essential_Myth_Part_1_of_2","Book of the Dead (Part 1 of 2)","zx_Book_of_the_Dead_1987_CRL_Group_Part_1_of_2_re_release","Book of the Dead (Part 1 of 2)"
"zx_Book_of_the","REMOVE","zx_Book_of_the_Dead_1987_Essential_Myth_Part_2_of_2","Book of the Dead (Part 2 of 2)","zx_Book_of_the_Dead_1987_CRL_Group_Part_1_of_2_re_release","Book of the Dead (Part 1 of 2)"
"zx_Tarzan_1986_Martech","REMOVE","zx_Tarzan_1986_Martech_Games_a","Tarzan","zx_Tarzan_1986_Martech_Games","Tarzan"
"a8b_Realm_of_Impossibility","REMOVE","a8b_Realm_of_Impossibility_1984_Electronic_Arts_US_a","Realm of Impossibility","a8b_Realm_of_Impossibility_1984_Electronic_Arts_US","Realm of Impossibility"
"a8b_Realm_of_Impossibility","REMOVE","a8b_Realm_of_Impossibility_1984_Electronic_Arts_US_a2","Realm of Impossibility","a8b_Realm_of_Impossibility_1984_Electronic_Arts_US","Realm of Impossibility"
"Elektrix_1986_Players_Software","REMOVE","Elektrix_1986_Players_Software_h_Mr._Software","Elektrix","Elektrix_1986_Players_Software","Elektrix"
"zx_Marauder_1988_Hewson","REMOVE","zx_Marauder_1988_Hewson_Consultants_128K","Marauder","zx_Marauder_1988_Hewson_Consultants","Marauder"
"zx_Marauder_1988_Hewson","REMOVE","zx_Marauder_1988_Hewson_Consultants_a","Marauder","zx_Marauder_1988_Hewson_Consultants","Marauder"
"zx_Marauder_1988_Hewson","REMOVE","zx_Marauder_1988_Hewson_Consultants_a_128K","Marauder","zx_Marauder_1988_Hewson_Consultants","Marauder"
"zx_Gunship_1987_Microprose","REMOVE","zx_Gunship_1987_Microprose_Software_128K","Gunship","zx_Gunship_1987_Microprose_Software","Gunship"
"zx_Gunship_1987_Microprose","REMOVE","zx_Gunship_1987_Microprose_Software_a_128K","Gunship","zx_Gunship_1987_Microprose_Software","Gunship"
"a8b_Yogis_Great_Escape","REMOVE","a8b_Yogis_Great_Escape_1990_Hi_Tec_Software_PAL_GB_cr_Prof_Soft_t_2_Prof_Soft_no_SIO","Yogi's Great Escape (PAL)","a8b_Yogis_Great_Escape_1990_Hi_Tec_Software_PAL_GB_cr_Prof_Soft_t_2_Prof_Soft","Yogi's Great Escape (PAL)"
"a8b_Yogis_Great_Escape","REMOVE","a8b_Yogis_Great_Escape_1990_Hi_Tec_Software_PAL_GB_cr_Thor","Yogi's Great Escape (PAL)","a8b_Yogis_Great_Escape_1990_Hi_Tec_Software_PAL_GB_cr_Prof_Soft_t_2_Prof_Soft","Yogi's Great Escape (PAL)"
"zx_Renegade_II_Target","REMOVE","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_a_128K","Renegade II - Target Renegade","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_128K","Renegade II - Target Renegade"
"zx_Renegade_II_Target","REMOVE","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_a2_128K","Renegade II - Target Renegade","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_128K","Renegade II - Target Renegade"
"zx_Renegade_II_Target","REMOVE","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_a3_128K","Renegade II - Target Renegade","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_128K","Renegade II - Target Renegade"
"zx_Renegade_II_Target","REMOVE","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_a4_128K","Renegade II - Target Renegade","zx_Renegade_II_Target_Renegade_1988_Imagine_Software_128K","Renegade II - Target Renegade"
"zx_Zolyx_1988_Firebird","REMOVE","zx_Zolyx_1988_Firebird_Software_Part_1_of_2_a","Zolyx (Part 1 of 2)","zx_Zolyx_1988_Firebird_Software_Part_1_of_2","Zolyx (Part 1 of 2)"
"zx_Zolyx_1988_Firebird","REMOVE","zx_Zolyx_1988_Firebird_Software_Part_2_of_2","Zolyx (Part 2 of 2)","zx_Zolyx_1988_Firebird_Software_Part_1_of_2","Zolyx (Part 1 of 2)"
"zx_Hero_1984_Activision","REMOVE","zx_Hero_1984_Activision_a","Hero","zx_Hero_1984_Activision","Hero"
"zx_Archon_1983_The","REMOVE","zx_Archon_1983_The_Ramjam_Corporation_a","Archon","zx_Archon_1983_The_Ramjam_Corporation","Archon"
"zx_Archon_1983_The","REMOVE","zx_Archon_1983_The_Ramjam_Corporation_a2","Archon","zx_Archon_1983_The_Ramjam_Corporation","Archon"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_a","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_cr_N.A.P.O._t","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_cr_N.A.P.O._t_a","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_cr_Sir_Kay_k_file","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_cr_USS","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_h_Rico","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_Arkanoid_1987_Imagine","REMOVE","a8b_Arkanoid_1987_Imagine_GB_k_file","Arkanoid","a8b_Arkanoid_1987_Imagine_GB","Arkanoid"
"a8b_World_Soccer_19xx","REMOVE","a8b_World_Soccer_19xx_Micro_Discount_GB","World Soccer","a8b_World_Soccer_19xx_ANG_Software_NL_en","World Soccer"
"zx_Sabre_Wulf_1984","REMOVE","zx_Sabre_Wulf_1984_Ultimate_Play_The_Game_a","Sabre Wulf","zx_Sabre_Wulf_1984_Ultimate_Play_The_Game","Sabre Wulf"
"zx_Frog_Run_1984","REMOVE","zx_Frog_Run_1984_Anirog_Software_a_16K","Frog Run","zx_Frog_Run_1984_Anirog_Software_16K","Frog Run"
"zx_Rats_The_1985","REMOVE","zx_Rats_The_1985_Hodder_Stoughton_incomplete","Rats, The","zx_Rats_The_1985_Hodder_Stoughton_a_incomplete","Rats, The"
"zx_LA_Drugs_Bust","REMOVE","zx_LA_Drugs_Bust_1990_Players_Software_128K","LA Drugs Bust","zx_LA_Drugs_Bust_1990_Players_Software","LA Drugs Bust"
"zx_Howard_the_Duck","REMOVE","zx_Howard_the_Duck_1987_Activision_a","Howard the Duck","zx_Howard_the_Duck_1987_Activision","Howard the Duck"
"a8b_Ghostbusters_1984_Activision","REMOVE","a8b_Ghostbusters_1984_Activision_US_a_k_file","Ghostbusters","a8b_Ghostbusters_1984_Activision_US_a","Ghostbusters"
"a8b_Ghostbusters_1984_Activision","REMOVE","a8b_Ghostbusters_1984_Activision_US_cr_MBsoft_HH","Ghostbusters","a8b_Ghostbusters_1984_Activision_US_a","Ghostbusters"
"a8b_Ghostbusters_1984_Activision","REMOVE","a8b_Ghostbusters_1984_Activision_US_h_Spiders","Ghostbusters","a8b_Ghostbusters_1984_Activision_US_a","Ghostbusters"
"a8b_Ghostbusters_1984_Activision","REMOVE","a8b_Ghostbusters_1984_Activision_US_k_file","Ghostbusters","a8b_Ghostbusters_1984_Activision_US_a","Ghostbusters"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_128K_re_release","Army Moves","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_a_128K_re_release","Army Moves","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_a2_128K_re_release","Army Moves","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_Part_1_of_2_a_re_release","Army Moves (Part 1 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_Part_1_of_2_re_release","Army Moves (Part 1 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_Part_2_of_2_a_re_release","Army Moves (Part 2 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Imagine_Software_Part_2_of_2_re_release","Army Moves (Part 2 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Summit_Software_Part_1_of_2_cr_re_release","Army Moves (Part 1 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Summit_Software_Part_2_of_2_a_re_release","Army Moves (Part 2 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"zx_Army_Moves_1986","REMOVE","zx_Army_Moves_1986_Summit_Software_Part_2_of_2_re_release","Army Moves (Part 2 of 2)","zx_Army_Moves_1986_Dinamic_Software_es_Part_2_of_2","Army Moves (Part 2 of 2)"
"a8b_Dropzone_1984_U.S.","REMOVE","a8b_Dropzone_1984_U.S._Gold_GB_h_Floppysoft_Associates_a_k_file","Dropzone","a8b_Dropzone_1984_U.S._Gold_GB","Dropzone"
"a8b_Dropzone_1984_U.S.","REMOVE","a8b_Dropzone_1984_U.S._Gold_GB_h_Floppysoft_Associates_k_file","Dropzone","a8b_Dropzone_1984_U.S._Gold_GB","Dropzone"
"a8b_Dropzone_1984_U.S.","REMOVE","a8b_Dropzone_1984_U.S._Gold_GB_k_file","Dropzone","a8b_Dropzone_1984_U.S._Gold_GB","Dropzone"
"zx_Moon_Cresta_1985","REMOVE","zx_Moon_Cresta_1985_Incentive_Software_a","Moon Cresta","zx_Moon_Cresta_1985_Incentive_Software","Moon Cresta"
"zx_Moon_Cresta_1985","REMOVE","zx_Moon_Cresta_1985_Incentive_Software_a2","Moon Cresta","zx_Moon_Cresta_1985_Incentive_Software","Moon Cresta"
"a8b_Adventure_Quest_1983","REMOVE","a8b_Adventure_Quest_1983_Level_9_Computing_b_playable_k_file","Adventure Quest","a8b_Adventure_Quest_1983_Level_9_Computing","Adventure Quest"
"msdos_Zak_McKracken_and","REMOVE","msdos_Zak_McKracken_and_the_Alien_Mindbenders_Enhanced_1988","Zak McKracken and the Alien Mindbenders Enhanced","msdos_Zak_McKracken_and_the_Alien_Mindbenders_1988","Zak McKracken and the Alien Mindbenders"
"zx_Dark_Empire_1987","REMOVE","zx_Dark_Empire_1987_MC_Lothlorien_a","Dark Empire","zx_Dark_Empire_1987_MC_Lothlorien","Dark Empire"
"zx_Spectipede_1983_Mastertronic","REMOVE","zx_Spectipede_1983_Mastertronic_a","Spectipede","zx_Spectipede_1983_Mastertronic","Spectipede"
"msdos_Games_The_-","REMOVE","msdos_Games_The_-_Winter_Edition_1988","Games, The - Winter Edition","msdos_Games_The_-_Summer_Edition_1988","Games, The - Summer Edition"
"zx_Mercenary_Escape_from","REMOVE","zx_Mercenary_Escape_from_Targ_1987_Novagen_Software_a","Mercenary - Escape from Targ","zx_Mercenary_Escape_from_Targ_1987_Novagen_Software","Mercenary - Escape from Targ"
"zx_Mercenary_Escape_from","REMOVE","zx_Mercenary_Escape_from_Targ_1987_Novagen_Software_a2","Mercenary - Escape from Targ","zx_Mercenary_Escape_from_Targ_1987_Novagen_Software","Mercenary - Escape from Targ"
"zx_Park_Patrol_1987","REMOVE","zx_Park_Patrol_1987_Firebird_Software_a","Park Patrol","zx_Park_Patrol_1987_Firebird_Software","Park Patrol"
"zx_Park_Patrol_1987","REMOVE","zx_Park_Patrol_1987_Firebird_Software_a2","Park Patrol","zx_Park_Patrol_1987_Firebird_Software","Park Patrol"
"zx_Corya_the_Warrior","REMOVE","zx_Corya_the_Warrior_Sage_1992_The_Guild_Part_2_of_2","Corya the Warrior Sage (Part 2 of 2)","zx_Corya_the_Warrior_Sage_1992_The_Guild_Part_1_of_2","Corya the Warrior Sage (Part 1 of 2)"
"zx_Jimmys_Soccer_Manager","REMOVE","zx_Jimmys_Soccer_Manager_1991_Beyond_Belief_a","Jimmy's Soccer Manager","zx_Jimmys_Soccer_Manager_1991_Beyond_Belief","Jimmy's Soccer Manager"
"zx_Shockway_Rider_1987","REMOVE","zx_Shockway_Rider_1987_Faster_Than_Light_a","Shockway Rider","zx_Shockway_Rider_1987_Faster_Than_Light","Shockway Rider"
"zx_Shockway_Rider_1987","REMOVE","zx_Shockway_Rider_1987_Faster_Than_Light_a2","Shockway Rider","zx_Shockway_Rider_1987_Faster_Than_Light","Shockway Rider"
"zx_Dan_Dare_II","REMOVE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a","Dan Dare II - Mekon's Revenge","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Dan Dare II - Mekon's Revenge"
"zx_Dan_Dare_II","REMOVE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a2","Dan Dare II - Mekon's Revenge","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Dan Dare II - Mekon's Revenge"
"zx_Dan_Dare_II","REMOVE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a3","Dan Dare II - Mekon's Revenge","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Dan Dare II - Mekon's Revenge"
"zx_Dan_Dare_II","REMOVE","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games_a4","Dan Dare II - Mekon's Revenge","zx_Dan_Dare_II_Mekons_Revenge_1988_Virgin_Games","Dan Dare II - Mekon's Revenge"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_01_of_10_a","Eureka (Part 01 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_02_of_10","Eureka (Part 02 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_03_of_10","Eureka (Part 03 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_03_of_10_a","Eureka (Part 03 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_04_of_10","Eureka (Part 04 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_05_of_10","Eureka (Part 05 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_05_of_10_a","Eureka (Part 05 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_06_of_10","Eureka (Part 06 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_07_of_10","Eureka (Part 07 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_08_of_10","Eureka (Part 08 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_09_of_10","Eureka (Part 09 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Eureka_1984_Domark","REMOVE","zx_Eureka_1984_Domark_Part_10_of_10","Eureka (Part 10 of 10)","zx_Eureka_1984_Domark_Part_01_of_10","Eureka (Part 01 of 10)"
"zx_Adventures_of_Barsak","REMOVE","zx_Adventures_of_Barsak_the_Dwarf_The_The_Early_Days_1984_Gilsoft_International_a.z","Adventures of Barsak the Dwarf, The - The Early Days","zx_Adventures_of_Barsak_the_Dwarf_The_The_Early_Days_1984_Gilsoft_International","Adventures of Barsak the Dwarf, The - The Early Days"
"zx_Adventures_of_Barsak","REMOVE","zx_Adventures_of_Barsak_the_Dwarf_The_The_Early_Days_1984_Gilsoft_International_a2.","Adventures of Barsak the Dwarf, The - The Early Days","zx_Adventures_of_Barsak_the_Dwarf_The_The_Early_Days_1984_Gilsoft_International","Adventures of Barsak the Dwarf, The - The Early Days"
"zx_Adventures_of_Barsak","REMOVE","zx_Adventures_of_Barsak_the_Dwarf_The_The_Early_Days_1984_Gilsoft_International_a3.","Adventures of Barsak the Dwarf, The - The Early Days","zx_Adventures_of_Barsak_the_Dwarf_The_The_Early_Days_1984_Gilsoft_International","Adventures of Barsak the Dwarf, The - The Early Days"
"zx_Big_Sleaze_The","REMOVE","zx_Big_Sleaze_The_1987_Piranha_Part_1_of_3_a","Big Sleaze, The (Part 1 of 3)","zx_Big_Sleaze_The_1987_Piranha_Part_1_of_3","Big Sleaze, The (Part 1 of 3)"
"zx_Big_Sleaze_The","REMOVE","zx_Big_Sleaze_The_1987_Piranha_Part_2_of_3","Big Sleaze, The (Part 2 of 3)","zx_Big_Sleaze_The_1987_Piranha_Part_1_of_3","Big Sleaze, The (Part 1 of 3)"
"zx_Big_Sleaze_The","REMOVE","zx_Big_Sleaze_The_1987_Piranha_Part_2_of_3_a","Big Sleaze, The (Part 2 of 3)","zx_Big_Sleaze_The_1987_Piranha_Part_1_of_3","Big Sleaze, The (Part 1 of 3)"
"zx_Big_Sleaze_The","REMOVE","zx_Big_Sleaze_The_1987_Piranha_Part_3_of_3","Big Sleaze, The (Part 3 of 3)","zx_Big_Sleaze_The_1987_Piranha_Part_1_of_3","Big Sleaze, The (Part 1 of 3)"
"zx_Big_Sleaze_The","REMOVE","zx_Big_Sleaze_The_1987_Piranha_Part_3_of_3_a","Big Sleaze, The (Part 3 of 3)","zx_Big_Sleaze_The_1987_Piranha_Part_1_of_3","Big Sleaze, The (Part 1 of 3)"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_a","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_h","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_h_k_file","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_h2","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_h3","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_m_color_Ralf_Bertenburg","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"a8b_Lode_Runner_1983","REMOVE","a8b_Lode_Runner_1983_Broderbund_US_m_color_Ralf_Bertenburg_b2","Lode Runner","a8b_Lode_Runner_1983_Broderbund_US","Lode Runner"
"zx_Mask_III_Venom","REMOVE","zx_Mask_III_Venom_Strikes_Back_1988_Gremlin_Graphics_Software_128K","Mask III - Venom Strikes Back","zx_Mask_III_Venom_Strikes_Back_1988_Gremlin_Graphics_Software","Mask III - Venom Strikes Back"
"zx_Mask_III_Venom","REMOVE","zx_Mask_III_Venom_Strikes_Back_1988_Gremlin_Graphics_Software_a","Mask III - Venom Strikes Back","zx_Mask_III_Venom_Strikes_Back_1988_Gremlin_Graphics_Software","Mask III - Venom Strikes Back"
"zx_Mask_III_Venom","REMOVE","zx_Mask_III_Venom_Strikes_Back_1988_Gremlin_Graphics_Software_a2","Mask III - Venom Strikes Back","zx_Mask_III_Venom_Strikes_Back_1988_Gremlin_Graphics_Software","Mask III - Venom Strikes Back"
"a8b_Gyruss_1984_Parker","REMOVE","a8b_Gyruss_1984_Parker_Brothers_US_a_k_file","Gyruss","a8b_Gyruss_1984_Parker_Brothers_US","Gyruss"
"a8b_Gyruss_1984_Parker","REMOVE","a8b_Gyruss_1984_Parker_Brothers_US_a2_k_file","Gyruss","a8b_Gyruss_1984_Parker_Brothers_US","Gyruss"
"a8b_Gyruss_1984_Parker","REMOVE","a8b_Gyruss_1984_Parker_Brothers_US_k_file","Gyruss","a8b_Gyruss_1984_Parker_Brothers_US","Gyruss"
"d64_Rabbit_Pie_19xx","REMOVE","d64_Rabbit_Pie_19xx_Illusion_h_Mombasajoe.de","Rabbit Pie","d64_Rabbit_Pie_19xx_Illusion","Rabbit Pie"
"zx_Olli_Lissa_III","REMOVE","zx_Olli_Lissa_III_The_Candlelight_Adventure_1989_Codemasters_a","Olli & Lissa III - The Candlelight Adventure","zx_Olli_Lissa_III_The_Candlelight_Adventure_1989_Codemasters","Olli & Lissa III - The Candlelight Adventure"
"zx_Barbarian_1988_Melbourne","REMOVE","zx_Barbarian_1988_Melbourne_House_128K","Barbarian","zx_Barbarian_1988_Melbourne_House","Barbarian"
"zx_Barbarian_1988_Melbourne","REMOVE","zx_Barbarian_1988_Melbourne_House_a","Barbarian","zx_Barbarian_1988_Melbourne_House","Barbarian"
"zx_Barbarian_1988_Melbourne","REMOVE","zx_Barbarian_1988_Melbourne_House_a_128K","Barbarian","zx_Barbarian_1988_Melbourne_House","Barbarian"
"zx_Barbarian_1988_Melbourne","REMOVE","zx_Barbarian_1988_Melbourne_House_a2_128K","Barbarian","zx_Barbarian_1988_Melbourne_House","Barbarian"
"zx_Dragon_Ninja_1988","REMOVE","zx_Dragon_Ninja_1988_Imagine_Software_a_128K","Dragon Ninja","zx_Dragon_Ninja_1988_Imagine_Software_128K","Dragon Ninja"
"zx_Dragon_Ninja_1988","REMOVE","zx_Dragon_Ninja_1988_Imagine_Software_a2_128K","Dragon Ninja","zx_Dragon_Ninja_1988_Imagine_Software_128K","Dragon Ninja"
"zx_Dragon_Ninja_1988","REMOVE","zx_Dragon_Ninja_1988_Imagine_Software_a3_128K","Dragon Ninja","zx_Dragon_Ninja_1988_Imagine_Software_128K","Dragon Ninja"
"a8b_Mario_Bros._1983","REMOVE","a8b_Mario_Bros._1983_Atari_US_5200_req_OSb_k_file","Mario Bros.","a8b_Mario_Bros._1983_Atari_US_5200_req_OSb","Mario Bros."
